Database Tables

	Table Name	Access Type	Accesses	Gross [microsec]	B	BuffType	Table Category	P/C	Short Description	Package

	ABAP SQL Setup	Open SQL	  1,210	          83,791					Internal ABAP SQL Events; See SAP Note 03290913
	FINSC_LD_CMP	Open SQL	     12	          21,137	On	Complete	TRANSP		CompCode-Dependent Settings for Univ. Journal Entry Ledger	FINS_ACDOC_CUST
	TCVPROF	Open SQL	      1	           6,108	(Cust)		TRANSP		Currency and Valuation Profiles	KE1C
	CKMLKEV	Open SQL	      2	           5,693			TRANSP		Material Ledger: Cost Component Split (Control Record)	CKMLCCS
	TRNSPACEL	Open SQL	      1	           5,625	(Off)	Complete	TRANSP		SL: Namespaces (Non-Transportable Section)	SCTS_NSP
	CABN	Open SQL	      2	           5,593			TRANSP		Characteristic	CT
	TCVPROFT	Open SQL	      1	           5,427	(Cust)		TRANSP		Currency and Valuation Profiles - Texts	KE1C
	NSDM_E_MCHB_DIFF	Open SQL	      2	           5,281			?	?	?
	V_ML_ACDOC_EX_UL_DDL	Open SQL	      2	           5,177			?	?	?
	SABP_BEHV_HDLR	Open SQL	      1	           5,082			?	?	?
	FINS_CO_DOCT_CC	Open SQL	      1	           4,996	On	Complete	TRANSP		Default Values for Postings in Controlling	FINS_ACDOC_CUST
	TKA02	Open SQL	      3	           4,829	On	Generic	TRANSP		Controlling area assignment	KBASCORE
	VBHDR	Open SQL	      1	           4,770			TRANSP		Update header	STSK
	DD02L	Open SQL	      2	           4,604			TRANSP		SAP Tables	SDIC
	V_MCHB_MD_PER	Open SQL	      2	           4,549			VIEW		Generated Table for View	MGA_NSDM
	CABNZ	Open SQL	      2	           4,536			TRANSP		Assignment of Table Fields to Characteristics	CT
	DD02T	Open SQL	      2	           4,475			TRANSP		SAP DD: SAP Table Texts	SDIC
	DD01L	Open SQL	      2	           4,389			TRANSP		Domains	SDIC
	CABNT	Open SQL	      2	           4,147			TRANSP		Characteristic Descriptions	CT_TRANS
	PROGDIR	Open SQL	      2	           4,093			VIEW	REPOSRC	Generated Table for View	SABP_TYPES
	FCLMGLACCOUNTBAMACCOUNT	Open SQL	      1	           4,089			?	?	?
	ISEGO1	Open SQL	      1	           3,892			TRANSP		Appendix for Physical Inventory Conversion Parameters	OIB
	OIB_DEF_INDEX_GM	Open SQL	      1	           3,812			TRANSP		Default index for Goods Movement	OIB_QCI
	/SAPAPO/MATGROUP	Open SQL	      1	           3,567			TRANSP		Product Grouping	/SAPAPO/MAT
	MARCO1	Open SQL	      1	           3,534			TRANSP		Appendix for Additional Quantities at Plant Level	OIB
	RFCCBWHITELIST	Open SQL	      1	           3,471	On	Single Record	TRANSP		Allowlist for RFC Callbacks	SRCX
	MBEW	Open SQL	      1	           3,430			TRANSP		Material Valuation	MG
	MARDO1	Open SQL	      1	           3,366			TRANSP		Appendix for Storage Location Additional Quantities	OIB
	USR02	Open SQL	      2	           3,332	(Off)	Single Record	TRANSP		Logon Data (Kernel-Side Use)	SUSR_KRN
	/SCWM/THARSERPRO	Open SQL	      1	           3,292			TRANSP		Contains flag that indicates whether harmonized SN is active	/SCWM/ADAPTER_S4_ERP_1
	MCHBO1	Open SQL	      1	           3,159			TRANSP		Appendix for Additional Quantities at Batch Level	OIB
	CKMLPRKEPH	Open SQL	      1	           3,145			TRANSP		Material Ledger: Cost Component Split (Elements) for Prices	CKMLCCS
	INDX	Open SQL	      1	           3,080			TRANSP		System Table INDX	SABP
	MARM	Open SQL	      1	           3,061			TRANSP		Units of Measure for Material	MG
	YI_ZERO_PRICE_MAINT	Open SQL	      1	           3,044			?	?	?
	YI_PLANT_NODETYPE_RESTRICTION	Open SQL	      1	           3,031			?	?	?
	MEAN	Open SQL	      1	           3,002			TRANSP		International Article Numbers (EANs) for Material	MG
	I_PRODUCTSUPPLYPLANNING	Open SQL	      1	           2,996			?	?	?
	DD01T	Open SQL	      1	           2,971			TRANSP		R/3 DD: domain texts	SDIC
	/SMFND/C_DFA01	Open SQL	      1	           2,960	On	Complete	TRANSP		Dynamic Form Agent General Settings	/SMFND/SDF_CUSTOMIZING
	I_UNITOFMEASURE	Open SQL	      1	           2,946			?	?	?
	MSTB	Open SQL	      1	           2,912			TRANSP		Stock in Transit	MB
	/SCDL/DB_PROCH_I	Open SQL	      1	           2,861			TRANSP		Inbound Delivery: Header	/SCDL/DATA_MODEL
	/SYCLO/CA002F	Open SQL	      1	           2,858	(Cust)		TRANSP		Exchange Object Change Pointer Field Catalog	/SYCLO/CORE
	I_PRODUCTVALUATIONBASIC	Open SQL	      1	           2,849			?	?	?
	FQMC_ACTIVATION	Open SQL	      3	           2,837	On	Complete	TRANSP		Activation of Financial Quantity Management	FQM
	I_JNTVNTRVALDINVMTGRP	Open SQL	      1	           2,790			?	?	?
	/SAPAPO/MATLWH	Open SQL	      1	           2,672			TRANSP		Location Product for Location Warehouse	/SAPAPO/MAT
	ZI_PROCRULES	Open SQL	      1	           2,660			?	?	?
	MARV	Open SQL	      4	           2,635	On	Generic	TRANSP		Material Control Record	MG
	/SYCLO/CA002L	Open SQL	      1	           2,629	(Cust)		TRANSP		Exchange Object Associations	/SYCLO/CORE
	SWOR	Open SQL	      1	           2,628			TRANSP		Classification System: Keywords	CL
	/SYCLO/MDW00	Open SQL	      1	           2,601			TRANSP		Syclo Middleware User Registry	/SYCLO/CORE
	/SYCLO/CA003	Open SQL	      1	           2,552	(Cust)		TRANSP		Data filter rule table	/SYCLO/CORE
	ZI_USR05	Open SQL	      1	           2,551			?	?	?
	/SYCLO/YCA002F	Open SQL	      1	           2,550	(Cust)		TRANSP		Exchange Object Change Pointer Field Catalog - Custom Config	/SYCLO/CORE
	/SMFND/YC_DFA01	Open SQL	      1	           2,530	On	Complete	TRANSP		Dynamic Form Agent General Settings - Custom Config	/SMFND/SDF_CUSTOMIZING
	RFCCHECK	Open SQL	      1	           2,529	On	Single Record	TRANSP		Table for asynchronous RFC administration	SRCX
	T8J156X	Open SQL	      1	           2,524	(Cust)		TRANSP		JV Appendix for T156X	GJV2
	EVTB_PRODUCER	Open SQL	      1	           2,483			TRANSP		RAP EEE: Event Binding Event Producer	SBOI_RAP_SERVICES_EEE_EVTB_IMP
	ISEGO2	Open SQL	      1	           2,476			TRANSP		Appendix for Physical Inventory Additional Quantities	OIB
	MAKT	Open SQL	      1	           2,472			TRANSP		Material Descriptions	MG
	TADIR	Open SQL	      8	           2,455	On	Single Record	TRANSP		Directory of Repository Objects	SCTS_CAT
	FTG_HEADER	Open SQL	      1	           2,452			TRANSP		Switch-based Feature Toggle	S_FEATURE_TOGGLES_CORE
	CAWN	Open SQL	      1	           2,448			TRANSP		Characteristic values	CT
	I_PURCHASEORDERITEMAPI01	Open SQL	      1	           2,426			?	?	?
	RFCDES	Open SQL	      8	           2,425	On	Single Record	TRANSP		Destination table for Remote Function Call	SRCX
	OIB_DEFAULTS	Open SQL	      1	           2,421			TRANSP		Table for Oil Defaults	OIB_QCI
	/SCWM/SERH2	Open SQL	      1	           2,416			TRANSP		Serial Number Header	/SCWM/SERIAL
	KLAH	Open SQL	      1	           2,398			TRANSP		Class Header Data	CL
	/SAPAPO/MATTXT	Open SQL	      1	           2,344	(Off)	Complete	TRANSP		Material Descriptions	/SAPAPO/MAT
	FQMC_ACT_FI	Open SQL	      1	           2,332	On	Single Record	TRANSP		Sourece Application Accounting	FCLM_CONFIG_FLOWBUILDER
	KSML	Open SQL	      1	           2,332			TRANSP		Characteristics of a Class	CL
	I_MAINTPLANNINGBUCKET	Open SQL	      1	           2,331			?	?	?
	CKMLPRKEKO	Open SQL	      1	           2,329			TRANSP		Material Ledger: Cost Component Split (Header) for Prices	CKMLCCS
	CKMLPR	Open SQL	      1	           2,324			TRANSP		Material Ledger: Prices	CKML
	MLRUNLIST	Open SQL	      1	           2,323			TRANSP		Object List for Costing Run	FCML4H_RUN
	SUSAGEMANAGEMENT	Open SQL	      1	           2,319	(Cust)		TRANSP		Usage in ABAP Management	SUSAGE_LOGGING
	NSDM_E_MARD_AGG	Open SQL	      1	           2,313			?	?	?
	/SYCLO/CA003M	Open SQL	      1	           2,312	(Cust)		TRANSP		MDO DOF Table Rule - Value	/SYCLO/CORE
	/SYCLO/CA003D	Open SQL	      1	           2,308	(Cust)		TRANSP		MDO DOF Table Rule - Meta Data	/SYCLO/CORE
	ARFCSSTATE	Open SQL	      1	           2,307			TRANSP		Description of ARFC Call Status (Send)	SRFC
	CAWNT	Open SQL	      1	           2,295			TRANSP		Value Texts	CT_TRANS
	MARC	Open SQL	      1	           2,282			TRANSP		Plant Data for Material	MG
	/SYCLO/YCA002L	Open SQL	      1	           2,278	(Cust)		TRANSP		Exchange Object Associations - Custom Config	/SYCLO/CORE
	NSDM_E_MARC_DIFF	Open SQL	      1	           2,270			?	?	?
	/SYCLO/YCA003	Open SQL	      1	           2,270	(Cust)		TRANSP		Data filter rule table - Custom Config	/SYCLO/CORE
	ARFCSDATA	Open SQL	      1	           2,264			TRANSP		ARFC Call Data (Callers)	SRFC
	/LIME/NSERIAL	Open SQL	      1	           2,255			TRANSP		LIME - Serial Numbers	/LIME/PLT_CORE
	V_MBEWH_MD	Open SQL	      1	           2,253			VIEW		Generated Table for View	MBV_DB
	BUT000	Open SQL	      1	           2,249			TRANSP		BP: General data I	S_BUPA_GENERAL
	CKMLMV001	Open SQL	      1	           2,229			TRANSP		Procurement alternatives	CKMLMV
	/SYCLO/YCA003M	Open SQL	      1	           2,229	(Cust)		TRANSP		MDO DOF Table Rule - Value - Custom Config	/SYCLO/CORE
	/SAPAPO/MATPACK	Open SQL	      1	           2,228			TRANSP		Product: Packing/Packaging Data	/SAPAPO/MAT
	DDFTX	Open SQL	      1	           2,227	On	Generic	TRANSP		Run-time object with Screen Painter texts	SDDD
	CKMLMV007A	Open SQL	      1	           2,219	On	Complete	TRANSP		Name formation (algorithms)	CKMC
	/SYCLO/YCA003D	Open SQL	      1	           2,199	(Cust)		TRANSP		MDO DOF Table Rule - Meta Data - Custom Config	/SYCLO/CORE
	KSSK	Open SQL	      1	           2,188			TRANSP		Allocation Table: Object to Class	CL
	FLQACC_INFO_APP	Open SQL	      1	           2,184	On	Generic	TRANSP		Liquidity Calculation - Accounts with Assignment Information	FCLM_INFO_ACCOUNT
	SWFDEVTYP	Open SQL	      2	           2,182	On	Complete	TRANSP		Event Linkages Without Instance Reference	SWF_EVT
	AGR_USERS	Open SQL	      1	           2,181	(Off)	Generic	TRANSP		Assignment of roles to users	S_PROFGEN
	SKB1	Open SQL	      8	           2,169	On	Single Record	TRANSP		G/L account master (company code)	FBS
	/SCWM/STOCK_IW02	Open SQL	      1	           2,150			TRANSP		WME - Stock Key Material, Batch	/SCWM/LIME_INTEGRATION
	/SYCLO/YCA002	Open SQL	      2	           2,149	On	Complete	TRANSP		Generic exchange handler table settings - Custom	/SYCLO/CORE
	/SAPAPO/MATEXEC	Open SQL	      1	           2,147			TRANSP		Product: Execution Data	/SAPAPO/MAT
	DD04T	Open SQL	      1	           2,144			TRANSP		R/3 DD: Data element texts	SDDD
	/SCWM/LAGP	Open SQL	      1	           2,134			TRANSP		Storage Bins	/SCWM/CORE
	FLOG_SUPLRITEM	Open SQL	      1	           2,133			TRANSP		Field Logistics: Supplier Item Repository	FLOG_SERVICES
	/SAPSLL/MARITC	Open SQL	      1	           2,124			TRANSP		Material Trade Classification	/SAPSLL/CORE_PRODUCT
	V_MARD_MD	Open SQL	      1	           2,118			VIEW		Generated Table for View	MGA_NSDM
	TRFC_I_UNIT_LOCK	Open SQL	      1	           2,107			TRANSP		Inbound tRFC: Unit Locks	SQRFC2
	TRFC_I_SDATA	Open SQL	      1	           2,084			TRANSP		Inbound tRFC: Unit Payload	SQRFC2
	/SCMB/TOENTITY	Open SQL	      1	           2,070			TRANSP		Supply Chain Unit: Header Table	/SCMB/SCE_ORG_MANAGEMENT
	BUBAS_EVT_STORE	Open SQL	      1	           2,059	(Cust)		TRANSP		Activate Storage of Event Log	FMBAS_E
	KLAT	Open SQL	      1	           2,035			TRANSP		Classes: Long Texts	CL
	CFIN_MIG_LOG	Open SQL	      1	           2,029			TRANSP		Log of Migration Status	FIN_CFIN_INTEGRATION
	RFCATTRIB	Open SQL	      1	           2,025	On	Single Record	TRANSP		Administration table for RFC destinations	SRCX
	SEOCLASSTX	Open SQL	      2	           1,987	On	Generic	TRANSP		Short description class/interface	SEO
	CKMLHD	Open SQL	      1	           1,985			TRANSP		Material Ledger: Header Record	CKML
	TFIN_FLAGS	Open SQL	      3	           1,974	On	Single Record	TRANSP		Control Table for Parameters	WUSL
	BGRFC_UTASK_KEY	Open SQL	      1	           1,962			TRANSP		Assignment of Update Keys to RFC Unit Locks	SQRFC2
	ARBCIG_TVARV	Open SQL	      1	           1,959			TRANSP		TVARV generalized for fields	ARBCIG_COMMON
	SUSAGE	Open SQL	      1	           1,942	(Cust)		TRANSP		Usage in ABAP	SUSAGE_LOGGING
	T811FLAGS	Open SQL	      1	           1,913			TRANSP		Allocations: Global Control Flags	KALC
	BALHDR	Open SQL	      1	           1,909			TRANSP		Application log: log header	SZAL_COMMON
	FCLM_BSEG_DELTA	Open SQL	      1	           1,903			TRANSP		Obseleted, do NOT USE!	FCLM_REUSE
	OIH30H	Open SQL	      1	           1,902			TRANSP		Tracking header	OIH
	I_CONTROLLINGAREA	Open SQL	      1	           1,900			?	?	?
	ZDB_PSA_CCODE	Open SQL	      1	           1,894			TRANSP		PSA Company Code Level Activation Table	Z1_R2R_UPA002
	I_GRIRPROCESSTRANSTYPEDETN	Open SQL	      1	           1,886			?	?	?
	MATDOC	Open SQL	      1	           1,885			TRANSP		Material Documents	MBND_RESTRICTED
	T006A	Open SQL	      2	           1,882	On	Generic	TRANSP		Assign Internal to Language-Dependent Unit	SZME
	RFCDOC	Open SQL	      1	           1,879	On	Single Record	TRANSP		Description of Possible RFC Connections (->RFCDES)	SRCX
	/SYCLO/CA002T	Open SQL	      1	           1,870	(Cust)		TRANSP		Exchange Object Text	/SYCLO/CORE
	YI_PLANT_DETAIL	Open SQL	      1	           1,865			?	?	?
	YI_INVENTORYMOVEMENT	Open SQL	      1	           1,863			?	?	?
	/UTGFR/RS_FLAG	Open SQL	      1	           1,843			TRANSP		Table to Determine the Active Ruleset	/UTGFR/CONFIG
	RFCDESSECU	Open SQL	      1	           1,836	On	Single Record	TRANSP		SNC extensions for RFC destinations	SECN
	BALDAT	Open SQL	      2	           1,830			TRANSP		Application Log: Log data	SZAL_COMMON
	V_MARC_MD_PER	Open SQL	      1	           1,830			VIEW		Generated Table for View	MGA_NSDM
	NSDM_V_MKPF	Open SQL	      1	           1,825			VIEW		Generated Table for View	MBND_PUBLIC
	TRFC_I_DEST	Open SQL	      1	           1,811			TRANSP		Client and Destination name for Inbound tRFC	SQRFC2
	/UTGFR/T_EXTLDCO	Open SQL	      1	           1,792			TRANSP		Regulatory Accouting Derivation For Ledgers	/UTGFR/CONFIG
	BKPF	Open SQL	      1	           1,785			TRANSP		Accounting Document Header	FBAS
	I_COMPANYCODE	Open SQL	      1	           1,781			?	?	?
	FLQACC_INFO_RT2	Open SQL	      1	           1,779	(Off)	Complete	TRANSP		Information Account: Status of runtime data	FCLM_INFO_ACCOUNT
	TRFC_I_UNIT	Open SQL	      1	           1,764			TRANSP		Inbound tRFC: Unit Header	SQRFC2
	I_JVAGLOBALCOMPANYPARAMETER	Open SQL	      1	           1,762			?	?	?
	FIN_CFIN_HIS_BCA	Open SQL	      1	           1,753	(Cust)		TRANSP		Bank Clearing Account for Historical Open Items	FIN_CFIN_INTEGRATION
	/OPT/CP_DEBUG	Open SQL	      1	           1,744	(Cust)		TRANSP		VIM Debugging	/OPT/CP
	ALE_BATCHES_RECP	Open SQL	      1	           1,744			TRANSP		Received Batches	VBW
	/UTGFR/T_EXTCONF	Open SQL	      1	           1,736			TRANSP		Extension Ledger Configuration	/UTGFR/CONFIG
	FCLM_MM_DELTA	Open SQL	      1	           1,726			TRANSP		Obsoleted, do NOT use!	FCLM_REUSE
	DD04L	Open SQL	      1	           1,683			TRANSP		Data elements	SDKR
	CKMLO	Open SQL	      1	           1,656	(Off)		TRANSP		Material Ledger: Organizational Jobs	CKML
	BGRFC_UNIT_INFO	Open SQL	      1	           1,643			TRANSP		bgRFC unit additional information	SQRFC2
	ALE_BATCHES_SENT	Open SQL	      1	           1,634			TRANSP		Sent Batches	VBW
	DD12L	Open SQL	      1	           1,463			TRANSP		R/3 S_SECINDEX: secondary indexes, header;	SDIC
	APOC_I_OBJECT_TYPE_CONFIG	Open SQL	      1	           1,461			?	?	?
	T001W	Open SQL	     23	           1,397	On	Generic	TRANSP		Plants/Branches	WFILCORE
	DDANNOENTITY	Open SQL	      1	           1,387			TRANSP		CDS entities for which annotations are read	SDUT_ANNOTATION
	USR21	Open SQL	      1	           1,305			TRANSP		User Name/Address Key Assignment	SUSR
	TOLE	Open SQL	      2	           1,271	On	Complete	TRANSP		OLE Applications	SOLE
	EKKO	Open SQL	      1	           1,255			TRANSP		Purchasing Document Header	ME
	USATTRIDDEF_DEFAULT	Open SQL	      1	           1,245			?	?	?
	TACE_ITEMTYPEC	Open SQL	      1	           1,165	On	Generic	TRANSP		Currency Type Settings for Accrual Item Types	ACE_S4
	USR01	Open SQL	      2	           1,128	On	Single Record	TRANSP		User master record (runtime data)	SUSR_KRN
	/SYCLO/YCA000ST	Open SQL	      1	           1,114	(Cust)		TRANSP		Mobile application - mobile status alias - Custom Config	/SYCLO/CORE
	USR_ATTR_ID	Open SQL	      1	           1,092			TRANSP		Assignment of Users to User Attributes	SUSR_IDENTITY
	DRAD	Open SQL	      1	           1,090			TRANSP		Document-Object Link	CV
	/SYCLO/CA000ST	Open SQL	      1	           1,082	(Cust)		TRANSP		Mobile application - mobile status alias	/SYCLO/CORE
	FTG_ATTRIBUTE	Open SQL	      1	           1,013			TRANSP		Switch-based Feature Toggle attributes	S_FEATURE_TOGGLES_CORE
	/SCDL/TLFIELDV	Open SQL	      1	             962	On	Complete	VIEW		Generated Table for View	/SCDL/DBAL_CORE
	T685A	Open SQL	      2	             845	On	Generic	TRANSP		Conditions: Types: Additional Price Element Data	VKON
	V_EXT_ACT	Open SQL	      3	             674	On	Complete	VIEW		Generated Table for View V_EXT_ACT	SECE
	CEPC_BUKRS	Open SQL	      2	             654	On	Generic	TRANSP		Assignment of Profit Centers to a Company Code	KE1
	V_EXT_IMP	Open SQL	      1	             541	On	Complete	VIEW		Generated Table for View	SECE
	SXS_ATTR	Open SQL	      3	             527	On	Single Record	TRANSP		Exit: Definition side: Attributes for an enhancement	SECE
	CKMLV	Open SQL	      7	             485	On	Complete	TRANSP		Material Ledger Control Records	CKML
	T001K	Open SQL	     21	             477	On	Generic	TRANSP		Valuation area	WFILCORE
	/SCDL/TLOGFIELD	Open SQL	      1	             399	On	Complete	TRANSP		Logical Field Names for Delivery	/SCDL/DBAL_CORE
	T006	Open SQL	      5	             384	On	Generic	TRANSP		Units of Measurement	SZME
	TACE_ITEMTYPEL	Open SQL	      1	             384	On	Generic	TRANSP		Ledgergroup Settings for Accrual Item Types	ACE_S4
	CRMC_IT_ASSIGN	Open SQL	      1	             336	On	Generic	TRANSP		Transaction Item Type - Determination	CRM_ORDER
	/SYCLO/CA000G	Open SQL	      2	             333	On	Complete	TRANSP		Mobile app - persona/feature assignments	/SYCLO/CORE
	TFDIR	Open SQL	      5	             330	On	Single Record	TRANSP		Function Module	SABP_TYPES
	/SCDL/TSERV_CTX	Open SQL	      1	             306	On	Complete	TRANSP		Services and Implementations Depending on Deployment Option	/SCDL/ADAPTER_CORE
	OIB04	Open SQL	      2	             284	On	Complete	TRANSP		Function module definition (API/AGA/Customer functions)	OIB_QCI
	OIB01	Open SQL	      3	             283	On	Complete	TRANSP		Definition of Conversion Groups	OIL
	SXC_IMPSWH	Open SQL	      1	             270	On	Complete	TRANSP		Business Add-In Implementations: Type of Implementation	SECE
	DD07L	Open SQL	      2	             265	On	Generic	TRANSP		R/3 DD: values for the domains	SDIC
	T006D	Open SQL	      3	             255	On	Complete	TRANSP		Dimensions	SZME
	TACE_ITEMTYPES	Open SQL	      1	             230	On	Generic	TRANSP		Assignment of Accrual Item Types to Posting Schemas	ACE_S4
	FINSC_LEDGER	Open SQL	     13	             227	On	Complete	TRANSP		Universal Journal Entry Ledger	FINS_ACDOC_CUST
	T030	Open SQL	      2	             225	On	Generic	TRANSP		Standard Accounts Table	FBAS
	FMLC_ERD	Open SQL	      1	             219	On	Complete	TRANSP		Treatment of Exchange Rate Differences for Invoices	FINS_ML_ERD
	SKA1	Open SQL	      5	             213	On	Single Record	TRANSP		G/L Account Master (Chart of Accounts)	FBASCORE
	T156F	Open SQL	      4	             195	On	Complete	TRANSP		Fields in Quantity String	MB
	CRMC_SALES_ITEM	Open SQL	      5	             194	On	Generic	TRANSP		Transaction Item Type - Sales Control Parameter	CRM_ORDER
	TJ07	Open SQL	      1	             193	On	Complete	TRANSP		Influence of system status on transactions	BSV
	DD07T	Open SQL	      2	             191	On	Generic	TRANSP		DD: Texts for Domain Fixed Values (Language-Dependent)	SDIC
	CKMLMVADMIN	Open SQL	     12	             187	On	Complete	TRANSP		General Control Parameters for Actual Costing	CKMLMV
	FINSC_CURTYPE	Open SQL	      5	             181	On	Complete	TRANSP		Currency type	FINS_ACDOC_CUST
	FAGL_CARRY_FORW	Open SQL	      3	             170	On	Generic	TRANSP		Last Balance Carryforward per Company Code/Ledger	FAGL_LEDGER_CUST
	TCURM	Open SQL	     20	             169	On	Complete	TRANSP		Customizing: MM Configuration	MB0C
	TBD05	Open SQL	      1	             165	On	Complete	TRANSP		Distribution model for message types	SALE
	TCVPROFD	Open SQL	      3	             163	On	Complete	TRANSP		Currency and Valuation Profiles - Detail	KE1C
	T006_OIB	Open SQL	      2	             158	On	Generic	TRANSP		Units of Measurement, Additional Definitions	SZME
	T156M	Open SQL	      8	             149	On	Complete	TRANSP		Posting String: Quantity	MB
	T000	Open SQL	     20	             148	On	Complete	TRANSP		Clients	STRM_T000
	T002	Open SQL	      3	             145	On	Complete	TRANSP		Language Keys (Component BC-I18)	STRO
	SXS_INTER	Open SQL	      1	             138	On	Complete	TRANSP		Exit: Definition side: Interfaces	SECE
	TBE11	Open SQL	      6	             128	On	Complete	TRANSP		BTE Application Indicator (Activation)	BBTE
	TDEVC	Open SQL	      7	             122	On	Single Record	TRANSP		Packages	SCTS_CAT
	T156	Open SQL	     11	             121	On	Generic	TRANSP		Movement Type	MB
	TACE001	Open SQL	      1	             120	On	Generic	TRANSP		Company Code Settings	ACE
	T881	Open SQL	      3	             119	On	Generic	TRANSP		Ledger Master	GBAS
	M	Open SQL	      4	             118			?	?	?
	/SYCLO/CA000P	Open SQL	      1	             117	On	Complete	TRANSP		Mobile application - parameters	/SYCLO/CORE
	TRWPR	Open SQL	      1	             116	On	Complete	TRANSP		RWIN: Processes	KIST
	/QTYW/API_RDW	Open SQL	      1	             116	On	Complete	TRANSP		Define UoM for API gravity and relative densities	/QTYW/BCC
	CRMC_ITEM_TYPE	Open SQL	      3	             112	On	Generic	TRANSP		Business Transaction Item Type	CRM_ORDER
	FMLV_LOGISTIC_CURRENCY	Open SQL	      3	             109			?	?	?
	SALV_CSQ_PARAMS	Open SQL	      2	             109	On	Generic	TRANSP		Parameters for ALV runtime	SALV_CSQ
	ZDB_CONST	Open SQL	      2	             108	On	Generic	TRANSP		Constant Parameters Repository	Z1_SDE_ZDB_CONST
	/SYCLO/CA000	Open SQL	      5	             106	On	Complete	TRANSP		Syclo Mobile Application Release Info	/SYCLO/CORE
	T005	Open SQL	     11	             102	On	Complete	TRANSP		Countries	SZAD
	T156SY	Open SQL	      2	             100	On	Complete	TRANSP		Mvt Type: Qty/Value Update: System Table; Rel. 4.6A	MB
	FINS_SIF_PROJ	Open SQL	      4	              93			?	?	?
	TVAP	Open SQL	      3	              92	On	Generic	TRANSP		Sales Document: Item Categories	VA0C
	TTZ5Z	Open SQL	      1	              92	On	Complete	TRANSP		Assign time zones to postal codes in gener. length	SZTZ
	CSKA	Open SQL	      1	              90	On	Single Record	TRANSP		Cost Elements (Data Dependent on Chart of Accounts)	KBASCORE
	OIB_CONV_RDGRP	Open SQL	      1	              88	On	Complete	TRANSP		Table for classification Conversiongrp - Readinggrp	OIB_QCI
	TTZCU	Open SQL	      5	              87	On	Complete	TRANSP		Customizing time zones	SZTZ
	/SYCLO/CA002	Open SQL	      2	              87	On	Complete	TRANSP		Generic exchange handler table settings	/SYCLO/CORE
	TCKM2	Open SQL	      2	              85	On	Complete	TRANSP		Valuation Area Control Table	CKMC
	FAGL_TLDGRP_MAP	Open SQL	      3	              82	On	Complete	TRANSP		Assignment of Ledgers to Ledger Groups	FAGL_LEDGER_CUST
